Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,d_return
3/31/2000,0.024956732,0.031787517,0.039270404,-0.012837147,0,0.06680867,0.130620182,0.11905936,0.117783036,0.013245227,0.042990185,0.010165272,0.013933094,-0.041672696,-0.00852105,58.24146767,1.875,3.1875,1.996917907,48.5292,125.6580333,51.309375,51.23809524,50.16412067,17.84046203,0.263157895,0.736842105,0.366869789,0.025270758
4/3/2000,-0.011806513,0.024956732,0.031787517,0.039270404,0.008240188,-0.033432509,0.033376161,0.097187674,0.085626852,0,0.013245227,0.042990185,0.010165272,-0.011890747,-0.041672696,55.94543432,2.3125,1.0625,1.930173771,48.924948,69.66080593,51.58125,51.36339286,50.62448052,18.29644461,0.350877193,0.649122807,0.528895769,-0.011737089
4/4/2000,0.001186944,-0.011806513,0.024956732,0.031787517,0,0.007067167,-0.034605529,0.03220314,0.096014653,0.008240188,0,0.013245227,0.042990185,-0.029781832,-0.011890747,56.13167801,0.9375,1.5625,1.903911359,49.29695112,53.25633622,51.68125,51.46875,51.14691017,18.38393771,0.342105263,0.657894737,0.640522876,0.001187648
4/5/2000,-0.022796428,0.001186944,-0.011806513,0.024956732,0.011976191,-0.014184635,-0.007117468,-0.048790164,0.018018506,0,0.008240188,0,0.013245227,-0.007255171,-0.029781832,51.66272056,0.0625,1.1875,1.852739119,49.64663405,14.53705591,51.60625,51.4514881,51.52160985,18.35071562,0.50877193,0.49122807,0.649524137,-0.022538553
4/6/2000,0.008459265,-0.022796428,0.001186944,-0.011806513,0.022906366,0.010785006,-0.01537582,-0.008308653,-0.04998135,0.011976191,0,0.008240188,0,-0.006116227,-0.007255171,53.14286153,0.4375,1.5,1.827543467,49.97533601,13.08973821,51.559375,51.48303571,51.80738636,17.97016111,0.447368421,0.552631579,0.615984405,0.008495146
4/7/2000,-0.014545711,0.008459265,-0.022796428,0.001186944,0.001205546,0.012121361,0,-0.026160826,-0.019093659,0.022906366,0.011976191,0,0.008240188,-0.020719815,-0.006116227,50.29937389,0.5625,1.1875,1.781826077,50.28431585,-15.72499543,51.45,51.44761905,51.96409632,17.49823288,0.552631579,0.447368421,0.554580897,-0.014440433
4/10/2000,-0.001221747,-0.014545711,0.008459265,-0.022796428,0.007290433,-0.003625382,0.007290433,-0.004830927,-0.030991753,0.001205546,0.022906366,0.011976191,0,-0.007343974,-0.020719815,50.05899739,2.125,0.75,1.708124214,50.5747569,-17.80721118,51.428125,51.41666667,52.02251894,17.06001381,0.561403509,0.438596491,0.514619883,-0.001221001
4/11/2000,0.020569388,-0.001221747,-0.014545711,0.008459265,0.009523882,0.028848154,0.017932339,0.028848154,0.016726794,0.007290433,0.001205546,0.022906366,0.011976191,-0.010823918,-0.007343974,54.07685586,3.8125,1.625,1.70218677,50.84777148,48.36109618,51.48125,51.4889881,52.11544102,17.24009347,0.412280702,0.587719298,0.489278752,0.020782396
4/12/2000,-0.001198322,0.020569388,-0.001221747,-0.014545711,0.014388737,0.004773279,0.024097552,0.013181737,0.024097552,0.009523882,0.007290433,0.001205546,0.022906366,-0.017052788,-0.010823918,53.80264995,1.8125,1.625,1.69667343,50.875,26.15544657,51.45,51.55029762,52.1782711,16.832797,0.421052632,0.578947368,0.501949318,-0.001197605
4/13/2000,-0.012062872,-0.001198322,0.020569388,-0.001221747,0.003621006,0.002412546,-0.007202912,0.012121361,0.001205546,0.014388737,0.009523882,0.007290433,0.001205546,-0.01339034,-0.017052788,51.01676625,-0.4375,1.125,1.655839613,50.875,8.0499425,51.3375,51.55505952,52.1377408,16.45459314,0.50877193,0.49122807,0.526315789,-0.011990408
4/14/2000,-0.037087069,-0.012062872,-0.001198322,0.020569388,0.001230769,-0.017073585,-0.018282045,-0.027897504,-0.008573231,0.003621006,0.014388737,0.009523882,0.007290433,-0.03509132,-0.01339034,43.70537383,-3.625,2.5,1.716136784,55.125,-105.6037765,51.25,51.39196429,51.81751082,15.73850053,0.771929825,0.228070175,0.506822612,-0.036407767
4/17/2000,-0.043765028,-0.037087069,-0.012062872,-0.001198322,0.00249688,-0.012391732,-0.030696087,-0.031904547,-0.041520005,0.001230769,0.003621006,0.014388737,0.009523882,-0.062207906,-0.03509132,37.19872246,-5.125,3.140625,1.817885942,55.125,-183.3728288,51.109375,51.03482143,51.10675866,16.06818133,0.936660269,0.063339731,0.415419814,-0.042821159
4/18/2000,0.013072082,-0.043765028,-0.037087069,-0.012062872,0.015604998,-0.031748698,-0.046637311,-0.064941666,-0.066150125,0.00249688,0.001230769,0.003621006,0.014388737,-0.005256254,-0.062207906,40.02676502,-4.5625,1,1.759465518,54.799375,-157.5313474,50.928125,50.75059524,50.27496212,16.37431351,0.859884837,0.140115163,0.279156518,0.013157895
4/19/2000,0.014184635,0.013072082,-0.043765028,-0.037087069,0.002534856,0.034774914,-0.012578782,-0.027467395,-0.04577175,0.015604998,0.00249688,0.001230769,0.003621006,-0.01534557,-0.005256254,43.0640225,-2.6875,1.25,1.723075124,54.486775,-94.61863677,50.796875,50.54910714,49.5394724,16.01976217,0.775431862,0.224568138,0.18246512,0.014285714
4/20/2000,0.019024036,0.014184635,0.013072082,-0.043765028,0.014962873,0.025063969,0.057304027,0.009950331,-0.004938282,0.002534856,0.015604998,0.00249688,0.001230769,-0.001257071,-0.01534557,47.0053238,-2.1875,1.6875,1.720534043,54.186679,-37.70475553,50.709375,50.44940476,49.06213203,14.99329077,0.562962963,0.437037037,0.184585382,0.019206146
4/24/2000,0,0.019024036,0.014184635,0.013072082,0.012642393,0,0.010101096,0.042341155,-0.005012542,0.014962873,0.002534856,0.015604998,0.00249688,-0.001273075,-0.001257071,47.0053238,-1.4375,0.6875,1.646745897,53.89858684,-53.81373264,50.665625,50.35803571,48.81503788,14.39005174,0.558603491,0.441396509,0.259193895,0
4/25/2000,0.049029427,0,0.019024036,0.014184635,0.004761914,0.068823222,0.056180828,0.066281924,0.098521983,0.012642393,0.014962873,0.002534856,0.015604998,-0.004784698,-0.001273075,56.35019397,1.125,2.875,1.734478333,53.62201837,68.38950216,50.828125,50.50892857,48.97763528,14.40070998,0.086720867,0.913279133,0.410714967,0.050251256
4/26/2000,-0.004796172,0.049029427,0,0.019024036,0.005878912,0.017741447,0.081802755,0.069160362,0.079261458,0.004761914,0.012642393,0.014962873,0.002534856,-0.021454935,-0.004784698,55.30004432,-0.1875,1.4375,1.713265595,53.35651263,66.85581972,51.009375,50.62053571,49.36687771,14.70664181,0.207407407,0.792592593,0.560220289,-0.004784689
4/27/2000,0.019048195,-0.004796172,0.049029427,0,0.017657904,0.010557283,0.022419818,0.086481126,0.073838733,0.005878912,0.004761914,0.012642393,0.014962873,-0.007151401,-0.021454935,58.62183087,0.875,1.5625,1.702496624,46.984375,88.35664688,51.14375,50.81011905,49.99629329,15.09897315,0.085510689,0.914489311,0.728815772,0.019230769
4/28/2000,-0.038466281,0.019048195,-0.004796172,0.049029427,0.001185537,0.00237248,-0.004728141,0.007134394,0.071195702,0.017657904,0.005878912,0.004761914,0.012642393,-0.033778845,-0.007151401,50.53350355,-0.5,2.0625,1.728211151,46.984375,18.14931012,51.096875,50.79642857,50.54452922,14.64482598,0.389548694,0.610451306,0.787240276,-0.037735849
