Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,peak
4/11/2000,-0.0264121,-0.070886858,0.027981757,0.058427801,0.023045255,-0.082805934,-0.089406543,-0.028370665,0.031671344,0.002205057,0.00328409,0.043336284,0.048318577,-0.021079532,-0.070886858,38.94935043,-8.591812,3.34935,3.375683802,66.113297,-151.4678225,66.0332019,64.59707208,61.29811536,17.75773748,0.77540124,0.22459876,0.434052639,0
4/12/2000,-0.044783586,-0.0264121,-0.070886858,0.027981757,0.003586408,0.02782997,-0.078021219,-0.084621828,-0.023585951,0.023045255,0.002205057,0.00328409,0.043336284,-0.075859853,-0.021079532,35.29356728,-9.174309,4.65997,3.46741853,65.1813035,-151.9232602,65.6327361,63.758694,60.38372283,18.98083346,0.935828789,0.064171211,0.358343376,0
4/13/2000,0.056875615,-0.044783586,-0.0264121,-0.070886858,0.030032238,0.011904886,0.036148448,-0.069702742,-0.07630335,0.003586408,0.023045255,0.002205057,0.00328409,-0.032220878,-0.075859853,42.69495244,-3.640602,4.295906,3.526596207,64.12232552,-101.6393672,65.26139475,63.27744122,59.65938507,19.93256676,0.683060208,0.316939792,0.268029564,1
4/14/2000,-0.133531341,0.056875615,-0.044783586,-0.0264121,0.038634089,-0.002442037,-0.020569389,0.003674173,-0.102177017,0.030032238,0.003586408,0.023045255,0.002205057,-0.088977,-0.032220878,33.39455537,-11.722729,8.154941,3.857192263,63.1904249,-169.0937048,64.4859471,62.11036906,58.41053003,21.67988954,0.966244724,0.033755276,0.183510206,0
4/17/2000,0.048266722,-0.133531341,0.056875615,-0.044783586,0.06453852,-0.02443848,-0.065514606,-0.083641957,-0.059398396,0.038634089,0.030032238,0.003586408,0.023045255,-0.015395724,-0.088977,38.39698274,-9.028691,4.29591,3.888529244,61.68321515,-156.8929522,63.6813746,61.2667901,57.1991905,23.41280108,0.748858369,0.251141631,0.180268082,0
4/18/2000,0.048540853,0.048266722,-0.133531341,0.056875615,0.067931299,0.114072454,0.025095454,-0.015980672,-0.034108023,0.06453852,0.038634089,0.030032238,0.003586408,-0.010666768,-0.015395724,43.24271004,-2.257171,4.441532,3.928029441,60.07369385,-97.47911308,63.0697539,60.76334737,56.43472465,24.021766,0.548543459,0.451456541,0.194784047,1
4/19/2000,-0.029097614,0.048540853,0.048266722,-0.133531341,0.01730573,0.079021986,0.125163141,0.036186141,-0.004889985,0.067931299,0.06453852,0.038634089,0.030032238,-0.038124074,-0.010666768,41.13367458,-3.786224,3.203728,3.876293624,59.414593,-82.17874889,62.48725785,60.158661,55.81594255,24.36775297,0.660194152,0.339805848,0.264510463,0
4/20/2000,-0.037937803,-0.029097614,0.048540853,0.048266722,0,-0.018880411,0.042835845,0.088977,0,0.01730573,0.067931299,0.06453852,0.038634089,-0.080678235,-0.038124074,38.57877924,-9.538368,4.441532,3.916667794,59.414593,-110.6658969,61.72273185,59.40835082,55.18011117,25.26635488,0.800970727,0.199029273,0.307672125,0
4/24/2000,-0.063294888,-0.037937803,-0.029097614,0.048540853,0.002773889,-0.086203111,-0.105083522,-0.043367266,0.002773889,0,0.01730573,0.067931299,0.06453852,-0.03390159,-0.080678235,34.87816033,-14.708027,3.93185,3.917752237,58.16805124,-149.8753416,60.8417067,58.41186655,54.16325216,26.43361747,0.963470317,0.036529683,0.289784498,0
4/25/2000,0.043092144,-0.063294888,-0.037937803,-0.029097614,0.010929014,0.02197885,-0.06699815,-0.085878561,-0.024162305,0.002773889,0,0.01730573,0.067931299,-0.023628618,-0.03390159,39.11666443,-7.936508,2.329983,3.804340149,56.8196892,-117.9438082,60.09902425,57.7142582,53.24214553,27.15527192,0.821917797,0.178082203,0.219921958,1
