Date,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,trough
4/12/2000,0.026278893,-0.023392877,-0.039665229,-0.016529278,0.028987462,0.023122416,0.005730603,-0.039220779,-0.044700176,0.005830944,0,0,0.002728526,0,-0.017699551,48.53487561,-0.090794,0.363178,0.306567645,11.10721,-42.37154742,10.6290252,10.66130778,10.81544905,15.7869596,0.645160843,0.354839157,0.440860437,0
4/13/2000,-0.032213653,0.026278893,-0.023392877,-0.039665229,0.011560869,0.023256859,0.017391813,0,-0.044951382,0.028987462,0.005830944,0,0,-0.023530495,0,43.2827883,-0.544768,0.363179,0.310611313,11.06968156,-88.89937476,10.5942206,10.61749576,10.68249978,15.5727125,1,0,0.258064787,0
4/14/2000,-0.024097549,-0.032213653,0.026278893,-0.023392877,0,-0.026511135,-0.014815145,-0.020680191,-0.038072004,0.011560869,0.028987462,0.005830944,0,-0.021116909,-0.023530495,39.90102243,-0.605298,0.242119,0.305719005,11.03365426,-161.7636411,10.57152195,10.55393951,10.51349074,16.01579209,1,0,0.168459026,0
4/17/2000,0,-0.024097549,-0.032213653,0.026278893,0.012121409,-0.0089955,-0.035506635,-0.023810645,-0.029675691,0,0.011560869,0.028987462,0.005830944,-0.01227004,-0.021116909,39.90102243,-1.059271,0.242119,0.301176148,10.9672478,-160.5140017,10.53671735,10.49254504,10.32861555,16.72099475,0.906977084,0.093022916,0.096357515,1
4/18/2000,0.018127358,0,-0.024097549,-0.032213653,0.023810645,0.035932054,0.014815145,-0.01169599,0,0.012121409,0,0.011560869,0.028987462,-0.003016606,-0.01227004,43.7254824,-0.998741,0.363179,0.305604923,10.87433366,-93.92986797,10.52007165,10.45175948,10.16495457,16.46111956,0.767442325,0.232557675,0.085938074,0
4/19/2000,0.017804696,0.018127358,0,-0.024097549,0.014598761,0.038409407,0.050530816,0.029413907,0.002902771,0.023810645,0.012121409,0,0.011560869,-0.008862723,-0.003016606,47.33471249,-0.696092,0.332914,0.307555571,10.78885265,-46.19701406,10.5079657,10.42985351,10.05898559,15.70220765,0.627906798,0.372093202,0.124030811,0
4/20/2000,-0.011834505,0.017804696,0.018127358,0,0,-0.005899746,0.017910899,0.030032309,0.0089154,0.014598761,0.023810645,0.012121409,0,-0.011904951,-0.008862723,45.25106146,-0.907946,0.18159,0.29855803,10.71021011,-77.73635659,10.49585975,10.39757097,9.993498172,15.26492704,0.720930483,0.279069517,0.211886086,0
4/24/2000,0,-0.011834505,0.017804696,0.018127358,0.017804696,0.005899746,0,0.023810645,0.035932054,0,0.014598761,0.023810645,0.012121409,-0.002998515,-0.011904951,45.25106146,-0.726357,0.211855,0.292364957,10.63785898,-71.32462561,10.48224055,10.36644138,9.963344656,14.64165151,0.720930483,0.279069517,0.279069603,1
4/25/2000,0.040821967,0,-0.011834505,0.017804696,0.040821967,0.046792158,0.034887208,0.028987462,0.052798107,0.017804696,0,0.014598761,0.023810645,-0.005970191,-0.002998515,53.55070968,0.121059,0.484238,0.306070174,10.592707,-12.06311386,10.4943465,10.37696199,10.00496602,14.11811678,0.395349123,0.604650877,0.330749171,0
4/26/2000,0,0.040821967,0,-0.011834505,0.011494331,0.040821967,0.046792158,0.034887208,0.028987462,0.040821967,0.017804696,0,0.014598761,-0.005797141,-0.005970191,53.55070968,0.363178,0.181589,0.297178662,9.805821,11.19511433,10.5019127,10.38632966,10.09247861,13.63197739,0.395349123,0.604650877,0.397932602,1
