dates,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,RSI,Momentum,TR,ATR,SAR,CCI,SMA,WMA,HMA,ADX,WPR,pk,pslowD,distance
6/30/2000,-0.004405293,0.015504187,-0.034013153,0.025124205,0.002164503,0.022964377,0.028510703,-0.020332429,0.021858794,0.00881063,0.004439519,0.005282632,0.002207506,-0.023014714,0,53.76445893,0.8125,1.4375,2.054536859,55.66571674,66.62945835,55.6046875,56.19464286,57.40979167,8.348045564,0.380530973,0.619469027,0.655198701,0
7/3/2000,0.029365895,-0.004405293,0.015504187,-0.034013153,0.015102768,0.011847204,0.032647078,0.038193404,-0.010649728,0.002164503,0.00881063,0.004439519,0.005282632,-0.002176279,-0.023014714,57.36552718,2.125,1.75,2.032784226,56.10333073,111.020387,55.7640625,56.45252976,57.47737554,8.804976837,0.14159292,0.85840708,0.658800393,0
7/5/2000,-0.07914993,0.029365895,-0.004405293,0.015504187,0.018349139,-0.044451763,-0.047707327,-0.026907453,-0.021361127,0.015102768,0.002164503,0.00881063,0.004439519,-0.00464038,-0.002176279,46.9991955,-2,4.5625,2.21347821,59.3125,-85.64369275,55.8171875,56.27261905,57.1844237,8.564223379,0.97752809,0.02247191,0.60426679,0
7/11/2000,0.061852202,-0.07914993,0.029365895,-0.004405293,0.019824438,0.059534703,-0.003266198,-0.006521762,0.014278112,0.018349139,0.015102768,0.002164503,0.00881063,0,-0.00464038,53.94246227,-0.375,3.4375,2.300908338,59.3125,53.36149243,55.9484375,56.41502976,57.00223214,8.376128822,0.359550562,0.640449438,0.572713312,3
7/17/2000,-0.09607383,0.061852202,-0.07914993,0.029365895,0.001189768,-0.066691374,-0.026981109,-0.08978201,-0.093037575,0.019824438,0.018349139,0.015102768,0.002164503,-0.015597197,0,44.37999577,-3.5,5.625,2.538343457,59.09,-183.9485373,55.84375,56.04494048,56.36137446,8.748493613,0.950819672,0.049180328,0.414864236,3
7/19/2000,0.03073528,-0.09607383,0.061852202,-0.07914993,0.009313222,0.027012799,-0.040868343,-0.001158078,-0.063958979,0.001189768,0.019824438,0.018349139,0.015102768,-0.003514942,-0.015597197,47.48323915,-3.75,1.875,2.490961781,58.64585,-100.5153398,55.778125,55.83958333,55.6017803,8.630410923,0.737704918,0.262295082,0.353928328,1
7/24/2000,-0.056268582,0.03073528,-0.09607383,0.061852202,0,-0.022472856,-0.004773279,-0.072654421,-0.032944156,0.009313222,0.001189768,0.019824438,0.018349139,-0.034066555,-0.003514942,42.83109474,-5.75,3.1875,2.540714511,58.228349,-191.0092629,55.646875,55.36071429,54.56834821,9.248308682,0.971631206,0.028368794,0.222652303,2
7/28/2000,0.055103759,-0.056268582,0.03073528,-0.09607383,0.003498546,0.027140309,0.004667453,0.02236703,-0.045514112,0,0.009313222,0.001189768,0.019824438,-0.003510829,-0.034066555,48.18212164,-4.3125,2.9375,2.569056332,57.61008108,-85.16367921,55.59375,55.16815476,53.6971131,9.335101982,0.645390071,0.354609929,0.215226984,3
8/1/2000,-0.039220713,0.055103759,-0.056268582,0.03073528,0.004767589,-0.017678716,0.005963047,-0.016509809,0.001189768,0.003498546,0,0.009313222,0.001189768,-0.02051973,-0.003510829,44.93287794,-4.4375,2.375,2.555195165,57.04127459,-147.9055475,55.546875,54.78422619,52.87930736,9.942792384,0.879432624,0.120567376,0.165407123,1
8/2/2000,0.047346121,-0.039220713,0.055103759,-0.056268582,0.030483017,0.034060838,0.011614532,0.035256295,0.01278344,0.004767589,0.003498546,0,0.009313222,-0.002383791,-0.02051973,49.38819793,-2.8125,2.5625,2.555716939,56.51797263,-70.48949972,55.3875,54.64285714,52.39993236,9.976752368,0.595744681,0.404255319,0.225361392,0
8/4/2000,-0.004635003,0.047346121,-0.039220713,0.055103759,0.00115942,0.027012799,0.030590621,0.008144315,0.031786078,0.030483017,0.004767589,0.003498546,0,-0.006984895,-0.002383791,48.96159215,-2.8125,0.5625,2.413344301,56.03653482,-55.40760468,55.2875,54.49285714,52.19338474,10.00828664,0.624113475,0.375886525,0.253743105,1
8/7/2000,0.025230696,-0.004635003,0.047346121,-0.039220713,0.00795007,0.025201792,0.051055171,0.054632992,0.032186686,0.00115942,0.030483017,0.004767589,0.003498546,-0.001140901,-0.006984895,51.44574452,-3.125,1.4375,2.343641136,55.59361203,-7.339928091,55.2375,54.48333333,52.30295184,9.581471115,0.404761905,0.595238095,0.350613531,0
8/8/2000,-0.045172706,0.025230696,-0.004635003,0.047346121,0.008078521,-0.008013781,0.009237941,0.03509132,0.038669141,0.00795007,0.00115942,0.030483017,0.004767589,-0.023447733,-0.001140901,47.0718437,-1.125,2.5,2.354809627,55.25,-64.35160065,55.08125,54.24642857,52.41970779,9.796182845,0.714285714,0.285714286,0.392547563,0
8/17/2000,0.067570059,-0.045172706,0.025230696,-0.004635003,0.009972382,0.049727759,0.033635458,0.050887179,0.076740558,0.008078521,0.00795007,0.00115942,0.030483017,-0.006703936,-0.023447733,53.51116669,-0.875,3.9375,2.467858939,50.5,44.27478059,55.01875,54.37559524,52.87351732,9.214085519,0.246031746,0.753968254,0.474126609,6
8/18/2000,-0.01675081,0.067570059,-0.045172706,0.025230696,0,0.01107431,0.050829688,0.034737386,0.051989108,0.009972382,0.008078521,0.00795007,0.00115942,-0.022272636,-0.006703936,51.78615885,3.4375,1.25,2.380869015,50.5,30.9075583,55.015625,54.42142857,53.47885823,8.752156947,0.365079365,0.634920635,0.507373635,0
8/23/2000,0.031044622,-0.01675081,0.067570059,-0.045172706,0.003266198,0.013129291,0.024203602,0.063958979,0.047866678,0,0.009972382,0.008078521,0.00795007,-0.004371592,-0.022272636,54.72043101,3.5625,2,2.353664085,50.75,80.0781617,55.00625,54.63422619,54.30284632,8.186780751,0.035714286,0.964285714,0.629188713,2
8/24/2000,-0.022075952,0.031044622,-0.01675081,0.067570059,0.001099505,-0.007662873,0.002200221,0.013274531,0.053029908,0.003266198,0,0.009972382,0.008078521,-0.015521376,-0.004371592,52.27325691,5.25,1.3125,2.279295222,51.155,44.36403385,54.98125,54.72886905,55.10020292,7.926431849,0.214285714,0.785714286,0.712522046,0
8/29/2000,0.017699577,-0.022075952,0.031044622,-0.01675081,0.017699577,0.003294896,-0.005467482,0.004395611,0.015469922,0.001099505,0.003266198,0,0.009972382,-0.002234638,-0.015521376,54.0439085,3.375,1.125,2.196845563,51.5357,62.89456605,54.934375,54.92113095,55.83412608,7.637319898,0.071428571,0.928571429,0.824074074,2
8/31/2000,-0.031182927,0.017699577,-0.022075952,0.031044622,0.002247192,-0.005595986,-0.020000667,-0.028763045,-0.018899951,0.017699577,0.001099505,0.003266198,0,-0.011312338,-0.002234638,50.51215834,3.6875,2.0625,2.187249452,51.893558,14.33130608,54.896875,54.95119048,56.293079,7.703426944,0.321428571,0.678571429,0.828483245,1
9/6/2000,0.03665041,-0.031182927,0.017699577,-0.022075952,0.004366819,0.032100155,0.024256978,0.009852296,0.001089918,0.002247192,0.017699577,0.001099505,0.003266198,-0.004385972,-0.011312338,54.30248306,3.25,2.125,2.182803062,52.22994452,85.74720865,54.91875,55.18125,56.70775703,7.210826093,0.026785714,0.973214286,0.850198413,2
9/8/2000,-0.009863094,0.03665041,-0.031182927,0.017699577,0.015538603,-0.006586193,0.021147143,0.013303966,-0.001100716,0.004366819,0.002247192,0.017699577,0.001099505,-0.006734032,-0.004385972,53.10780871,2.9375,1.8125,2.156352843,52.54614785,55.17547577,54.925,55.35565476,57.0285119,7.14505777,0.12,0.88,0.833888889,1
9/11/2000,0.003298519,-0.009863094,0.03665041,-0.031182927,0.02988601,0.025401697,0.003276901,0.031010237,0.023167059,0.015538603,0.004366819,0.002247192,0.017699577,0,-0.006734032,53.47524107,1.75,1.6875,2.122863355,52.84337898,71.80260567,54.85625,55.54732143,57.27027868,6.855588945,0.09,0.91,0.875039683,0
9/14/2000,-0.052970128,0.003298519,-0.009863094,0.03665041,0.004618946,-0.025029748,-0.029514061,-0.051638857,-0.023905521,0.02988601,0.015538603,0.004366819,0.002247192,-0.00813485,0,47.23118224,1.25,3.375,2.212301686,53.12277624,-35.41549895,54.8625,55.46577381,57.14001082,7.321757904,0.682926829,0.317073171,0.822452575,2
9/18/2000,0.035250949,-0.052970128,0.003298519,-0.009863094,0.016901811,0.035250949,0.005602256,0.001117943,-0.021006853,0.004618946,0.02988601,0.015538603,0.004366819,0,-0.00813485,51.27261932,-0.5,1.9375,2.192672995,53.38540966,35.72197116,54.79375,55.56815476,56.90433983,7.061770301,0.324675325,0.675324675,0.752520589,1
9/25/2000,-0.063421826,0.035250949,-0.052970128,0.003298519,0.007168489,-0.046520016,-0.028170877,-0.057819571,-0.062303883,0.016901811,0.004618946,0.02988601,0.015538603,-0.012062872,0,44.72748433,-3,4.4375,2.353017781,57.5,-107.5240991,54.815625,55.34970238,56.26951299,7.924108915,0.833333333,0.166666667,0.574281726,4
9/27/2000,0.015357656,-0.063421826,0.035250949,-0.052970128,0.007034027,0.026036974,-0.027651531,-0.009302393,-0.038951087,0.007168489,0.016901811,0.004618946,0.02988601,-0.01064469,-0.012062872,46.46696775,-3.9375,1,2.256373653,57.5,-65.68708522,54.796875,55.20654762,55.5022619,8.324544835,0.697916667,0.302083333,0.467281893,1
